id,word_surface,lemma,il_post,bis,ud_upos,ud_features,tsl_tag
1,वक्रतुण्ड,वक्रतुण्ड,JJ,JJ,ADJ,Case=Voc|Gender=Masc|Number=Sing,adj-m-s-8
2,महाकाय,महाकाय,JJ,JJ,ADJ,Case=Voc|Gender=Masc|Number=Sing,adj-m-s-8
3,सूर्यकोटिसमप्रभ,सूर्यकोटिसमप्रभ,JJ,JJ,ADJ,Case=Voc|Gender=Masc|Number=Sing,adj-m-s-8
4,देव,देव,NN,N_NN,NOUN,Case=Voc|Gender=Masc|Number=Sing,n-m-s-8
5,मे,अस्मद्,PRP,PRP,PRON,Case=Gen|Number=Sing|Person=1|PronType=Prs,p-1-s-6
6,सर्वकार्येषु,सर्वकार्य,NN,N_NN,NOUN,Case=Loc|Gender=Neut|Number=Plur,n-n-p-7
7,सर्वदा,सर्वदा,RB,RB,ADV,PronType=Tot,ind-adv
8,निर्विघ्नम्,निर्विघ्न,RB,RB,ADV,Case=Acc|Gender=Neut|Number=Sing,adj-n-s-2
9,कुरु,कृ,VM,V_VM,VERB,Mood=Imp|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,v-2-s-imp-act
10,गुरुः,गुरु,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
11,ब्रह्मा,ब्रह्मन्,NNP,N_NNP,PROPN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
12,विष्णुः,विष्णु,NNP,N_NNP,PROPN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
13,देवः,देव,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
14,महेश्वरः,महेश्वर,NNP,N_NNP,PROPN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
15,साक्षात्,साक्षात्,RB,RB,ADV,_,ind-adv
16,परब्रह्म,परब्रह्मन्,NN,N_NN,NOUN,Case=Nom|Gender=Neut|Number=Sing,n-n-s-1
17,तस्मै,तद्,PRP,PRP,PRON,Case=Dat|Gender=Masc|Number=Sing|PronType=Dem,p-m-s-3
18,श्रीगुरवे,श्रीगुरु,NN,N_NN,NOUN,Case=Dat|Gender=Masc|Number=Sing,n-m-s-3
19,नमः,नमस्,NN,N_NN,NOUN,Case=Nom|Gender=Neut|Number=Sing,n-n-s-1
20,कराग्रे,कराग्र,NN,N_NN,NOUN,Case=Loc|Gender=Neut|Number=Sing,n-n-s-7
21,लक्ष्मीः,लक्ष्मी,NNP,N_NNP,PROPN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
22,करमध्ये,करमध्य,NN,N_NN,NOUN,Case=Loc|Gender=Neut|Number=Sing,n-n-s-7
23,सरस्वती,सरस्वती,NNP,N_NNP,PROPN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
24,तु,तु,CC,CC,CCONJ,_,ind-conj
25,करमूले,करमूल,NN,N_NN,NOUN,Case=Loc|Gender=Neut|Number=Sing,n-n-s-7
26,गोविन्दः,गोविन्द,NNP,N_NNP,PROPN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
27,वसते,वस्,VM,V_VM,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,v-3-s-pres-mid
28,प्रभाते,प्रभात,NN,N_NN,NOUN,Case=Loc|Gender=Neut|Number=Sing,n-n-s-7
29,करदर्शनम्,करदर्शन,NN,N_NN,NOUN,Case=Nom|Gender=Neut|Number=Sing,n-n-s-1
30,समुद्रवसने,समुद्रवसना,JJ,JJ,ADJ,Case=Voc|Gender=Fem|Number=Sing,adj-f-s-8
31,पर्वतावलिभूषिते,पर्वतावलिभूषिता,JJ,JJ,ADJ,Case=Voc|Gender=Fem|Number=Sing,adj-f-s-8
32,विष्णुपत्नि,विष्णुपत्नी,NN,N_NN,NOUN,Case=Voc|Gender=Fem|Number=Sing,n-f-s-8
33,देवि,देवी,NN,N_NN,NOUN,Case=Voc|Gender=Fem|Number=Sing,n-f-s-8
34,तुभ्यम्,युष्मद्,PRP,PRP,PRON,Case=Dat|Number=Sing|Person=2|PronType=Prs,p-2-s-3
35,पादस्पर्शम्,पादस्पर्श,NN,N_NN,NOUN,Case=Acc|Gender=Masc|Number=Sing,n-m-s-2
36,क्षमस्व,क्षम्,VM,V_VM,VERB,Mood=Imp|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid,v-2-s-imp-mid
37,असतः,असत्,NN,N_NN,NOUN,Case=Abl|Gender=Neut|Number=Sing,n-n-s-5
38,मा,मा,RP,RP,PART,Polarity=Neg,ind-part
39,सद्,सत्,NN,N_NN,NOUN,Case=Acc|Gender=Neut|Number=Sing,n-n-s-2
40,गमय,गम्,VM,V_VM,VERB,Mood=Imp|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,v-2-s-imp-caus
41,तमसः,तमस्,NN,N_NN,NOUN,Case=Abl|Gender=Neut|Number=Sing,n-n-s-5
42,ज्योतिः,ज्योतिस्,NN,N_NN,NOUN,Case=Acc|Gender=Neut|Number=Sing,n-n-s-2
43,मृत्योः,मृत्यु,NN,N_NN,NOUN,Case=Abl|Gender=Masc|Number=Sing,n-m-s-5
44,अमृतम्,अमृत,NN,N_NN,NOUN,Case=Acc|Gender=Neut|Number=Sing,n-n-s-2
45,अश्वः,अश्व,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
46,आम्रः,आम्र,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
47,इक्षुः,इक्षु,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
48,ईक्षणम्,ईक्षण,NN,N_NN,NOUN,Case=Nom|Gender=Neut|Number=Sing,n-n-s-1
49,उन्दुरुः,उन्दुरु,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
50,ऊहनी,ऊहनी,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
51,ऋषिः,ऋषि,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
52,एडकः,एडक,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
53,ऐरावतः,ऐरावत,NNP,N_NNP,PROPN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
54,ओष्ठौ,ओष्ठ,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Dual,n-m-d-1
55,औषधम्,औषध,NN,N_NN,NOUN,Case=Nom|Gender=Neut|Number=Sing,n-n-s-1
56,चक्रम्,चक्र,NN,N_NN,NOUN,Case=Nom|Gender=Neut|Number=Sing,n-n-s-1
57,छत्रम्,छत्र,NN,N_NN,NOUN,Case=Nom|Gender=Neut|Number=Sing,n-n-s-1
58,जम्बूकः,जम्बूक,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
59,झषः,झष,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
60,चञ्चुः,चञ्चु,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
61,टङ्कः,टङ्क,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
62,ठक्कुरः,ठक्कुर,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
63,डमरुः,डमरु,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
64,ढक्का,ढक्का,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
65,बाणः,बाण,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
66,तलहस्तः,तलहस्त,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
67,रथः,रथ,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
68,दर्पणः,दर्पण,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
69,धनुः,धनुस्,NN,N_NN,NOUN,Case=Nom|Gender=Neut|Number=Sing,n-n-s-1
70,नासिका,नासिका,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
71,पञ्जरः,पञ्जर,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
72,फलकः,फलक,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
73,बटुः,बटु,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
74,भल्लूकः,भल्लूक,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
75,मण्डूकः,मण्डूक,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
76,यष्टिः,यष्टि,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
77,वटः,वट,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
78,रज्जुः,रज्जु,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
79,लता,लता,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
80,शशः,शश,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
81,षट्कोणः,षट्कोण,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
82,सर्पः,सर्प,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
83,हरिणः,हरिण,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
84,इयम्,इदम्,PRP,PRP,PRON,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,p-f-s-1
85,पक्षीणी,पक्षीणी,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
86,चटका,चटका,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
87,अस्ति,अस्,VM,V_VM,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,v-3-s-pres-act
88,कः,किम्,WQ,WQ,PRON,Case=Nom|Gender=Masc|Number=Sing|PronType=Int,p-m-s-1
89,पक्षी,पक्षिन्,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
90,अयम्,इदम्,PRP,PRP,PRON,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,p-m-s-1
91,काकः,काक,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
92,शुकः,शुक,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
93,कुक्कुटः,कुक्कुट,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
94,कपोतः,कपोत,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
95,बकः,बक,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
96,हंसः,हंस,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
97,पशुः,पशु,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
98,कुक्कुरः,कुक्कुर,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
99,मार्जारः,मार्जार,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
100,गौः,गो,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
101,वृषभः,वृषभ,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
102,महिषी,महिषी,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
103,गर्दभः,गर्दभ,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
104,उष्ट्रः,उष्ट्र,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
105,अजः,अज,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
106,अजाः,अजा,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Plur,n-f-p-1
107,व्याघ्रः,व्याघ्र,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
108,सिंहः,सिंह,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
109,हस्ती,हस्टिन्,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
110,वृकः,वृक,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
111,वराहः,वराह,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
112,वानरः,वानर,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
113,कृष्णः,कृष्ण,JJ,JJ,ADJ,Case=Nom|Gender=Masc|Number=Sing,adj-m-s-1
114,धवलः,धवल,JJ,JJ,ADJ,Case=Nom|Gender=Masc|Number=Sing,adj-m-s-1
115,रक्तः,रक्त,JJ,JJ,ADJ,Case=Nom|Gender=Masc|Number=Sing,adj-m-s-1
116,नीलः,नील,JJ,JJ,ADJ,Case=Nom|Gender=Masc|Number=Sing,adj-m-s-1
117,पीतः,पीत,JJ,JJ,ADJ,Case=Nom|Gender=Masc|Number=Sing,adj-m-s-1
118,हरितः,हरित,JJ,JJ,ADJ,Case=Nom|Gender=Masc|Number=Sing,adj-m-s-1
119,काकस्य,काक,NN,N_NN,NOUN,Case=Gen|Gender=Masc|Number=Sing,n-m-s-6
120,रङ्गः,रङ्ग,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
121,रुधिरस्य,रुधिर,NN,N_NN,NOUN,Case=Gen|Gender=Neut|Number=Sing,n-n-s-6
122,बकस्य,बक,NN,N_NN,NOUN,Case=Gen|Gender=Masc|Number=Sing,n-m-s-6
123,आकाशस्य,आकाश,NN,N_NN,NOUN,Case=Gen|Gender=Masc|Number=Sing,n-m-s-6
124,शुकस्य,शुक,NN,N_NN,NOUN,Case=Gen|Gender=Masc|Number=Sing,n-m-s-6
125,हरिद्रायाः,हरिद्रा,NN,N_NN,NOUN,Case=Gen|Gender=Fem|Number=Sing,n-f-s-6
126,कीटः,कीट,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
127,मक्षिका,मक्षिका,NN,N_NN,NOUN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
128,तैलपः,तैलप,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
129,मत्कुणः,मत्कुण,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
130,चित्रपतङ्गः,चित्रपतङ्ग,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
131,मषकः,मषक,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
132,रविः,रवि,NNP,N_NNP,PROPN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
133,गच्छति,गम्,VM,V_VM,VERB,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,v-3-s-pres-act
134,शिशुशालाम्,शिशुशाला,NN,N_NN,NOUN,Case=Acc|Gender=Fem|Number=Sing,n-f-s-2
135,प्रातःकाले,प्रातःकाल,NN,N_NN,NOUN,Case=Loc|Gender=Masc|Number=Sing,n-m-s-7
136,स्नानम्,स्नान,NN,N_NN,NOUN,Case=Acc|Gender=Neut|Number=Sing,n-n-s-2
137,कृत्वा,कृ,VM,V_VM,VERB,VerbForm=Conv,v-abs
138,उमा,उमा,NNP,N_NNP,PROPN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
139,दुग्धम्,दुग्ध,NN,N_NN,NOUN,Case=Acc|Gender=Neut|Number=Sing,n-n-s-2
140,पीत्वा,पा,VM,V_VM,VERB,VerbForm=Conv,v-abs
141,अशनम्,अशन,NN,N_NN,NOUN,Case=Acc|Gender=Neut|Number=Sing,n-n-s-2
142,प्राची,प्राची,NNP,N_NNP,PROPN,Case=Nom|Gender=Fem|Number=Sing,n-f-s-1
143,पुस्तक-लेखनी-जलम्,पुस्तक-लेखनी-जल,NN,N_NN,NOUN,Case=Acc|Gender=Neut|Number=Sing,n-n-s-2
144,गृहीत्वा,ग्रह्,VM,V_VM,VERB,VerbForm=Conv,v-abs
145,शशी,शशिन्,NNP,N_NNP,PROPN,Case=Nom|Gender=Masc|Number=Sing,n-m-s-1
146,गणवेशम्,गणवेश,NN,N_NN,NOUN,Case=Acc|Gender=Masc|Number=Sing,n-m-s-2
147,परिधाय,परि-धा,VM,V_VM,VERB,VerbForm=Conv,v-lyab
148,नवीनम्,नवीन,JJ,JJ,ADJ,Case=Acc|Gender=Masc|Number=Sing,adj-m-s-2
149,बालाः,बाल,NN,N_NN,NOUN,Case=Nom|Gender=Masc|Number=Plur,n-m-p-1
150,यान्ति,या,VM,V_VM,VERB,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,v-3-p-pres-act
